department,region,education,gender,recruitment_channel,age,previous_year_rating,KPIs_met >60%,awards_won?,avg_training_score
2,22,2,2,3,38,5.0,1,0,58
1,26,2,1,3,24,1.0,1,0,50
2,19,2,1,3,41,3.0,0,0,60
6,2,2,1,3,45,3.0,0,0,65
4,22,2,1,3,40,1.0,0,0,78
9,8,2,1,3,30,4.0,0,0,85
4,2,1,2,1,42,4.0,1,0,77
1,7,2,1,1,51,1.0,0,0,47
1,28,1,2,3,33,5.0,1,0,47
1,22,2,1,1,31,1.0,0,0,55
4,2,1,1,3,38,2.0,0,0,80
2,34,2,1,1,40,1.0,0,0,59
1,7,1,1,1,47,5.0,1,0,52
3,19,2,1,3,50,4.0,1,0,74
8,2,3,2,3,26,5.0,1,0,62
2,2,2,2,1,57,3.0,1,1,58
6,22,1,1,3,33,4.0,0,0,58
8,2,2,1,3,31,3.0,1,0,59
1,6,2,1,1,45,3.0,0,0,51
4,13,2,1,3,27,5.0,1,0,80
6,2,2,2,3,27,1.0,1,0,62
8,26,2,1,3,34,5.0,0,0,53
2,14,2,2,3,38,3.0,0,0,60
1,7,2,1,1,48,4.0,0,0,57
2,10,1,1,1,32,5.0,0,0,59
7,2,2,1,2,33,4.0,1,0,48
9,22,2,1,1,30,3.0,0,0,85
5,2,2,1,1,41,3.0,1,0,82
2,26,2,1,3,27,3.0,0,0,56
3,7,2,1,1,28,5.0,1,0,73
2,2,2,1,3,29,1.0,1,0,57
1,22,2,1,3,25,4.0,0,0,54
3,2,2,1,1,42,1.0,0,0,70
1,5,2,1,1,30,1.0,0,0,55
3,22,2,2,1,26,5.0,0,0,70
3,10,1,2,1,32,4.0,0,0,71
1,19,2,1,3,35,1.0,0,0,48
4,7,1,1,3,57,1.0,1,0,81
1,22,1,1,3,21,5.0,0,0,48
1,2,2,1,1,24,3.0,0,0,49
4,2,1,2,3,55,3.0,0,0,82
4,2,2,1,2,38,3.0,1,0,76
4,22,2,1,2,30,5.0,1,0,79
2,22,2,1,3,44,3.0,0,0,59
1,17,2,1,1,37,1.0,0,0,53
3,2,2,1,1,33,4.0,0,0,67
1,2,2,1,1,26,1.0,1,0,50
9,4,1,1,1,29,5.0,1,0,84
2,7,2,2,1,27,4.0,1,0,57
2,4,1,1,3,53,5.0,0,0,60
4,16,1,2,1,32,3.0,0,0,81
2,32,2,1,3,40,5.0,0,0,62
3,28,2,2,3,32,3.0,0,0,70
8,22,2,1,1,30,5.0,1,0,52
5,22,2,1,3,29,5.0,1,0,83
6,11,2,1,1,36,5.0,1,0,55
4,2,3,2,3,26,1.0,1,0,81
1,2,2,1,2,29,5.0,1,0,48
4,13,1,1,3,48,1.0,0,0,80
3,23,2,1,1,35,1.0,0,0,74
2,12,2,1,3,37,3.0,0,0,61
1,23,2,2,3,32,5.0,1,0,50
2,29,2,1,3,27,1.0,0,0,58
5,27,2,1,3,25,1.0,0,0,86
1,12,2,1,1,34,1.0,0,0,54
4,2,1,1,2,40,4.0,0,0,82
4,7,2,1,1,43,3.0,0,0,81
2,22,2,1,3,30,3.0,0,0,59
3,2,2,1,3,51,3.0,1,0,75
4,26,2,1,1,34,2.0,1,1,80
2,2,1,1,3,38,5.0,1,1,53
1,19,1,1,3,30,4.0,0,0,49
1,6,2,2,1,26,2.0,1,0,48
5,16,2,1,1,27,4.0,0,0,87
3,8,1,2,3,44,5.0,0,0,67
2,4,1,2,3,46,4.0,0,0,56
3,27,1,1,3,42,3.0,0,0,76
5,2,2,1,3,29,1.0,1,0,85
9,22,2,1,1,28,5.0,1,0,83
2,7,2,1,1,42,5.0,0,0,61
2,34,2,1,3,33,1.0,0,0,58
4,7,2,2,1,27,3.0,1,0,81
3,2,2,2,3,49,4.0,1,0,73
4,28,2,1,3,26,3.0,0,0,80
1,2,2,1,3,39,1.0,0,0,52
9,2,2,1,1,26,3.0,0,0,85
1,26,2,2,1,37,3.0,0,0,54
2,2,1,2,3,41,5.0,1,0,57
4,34,2,2,1,26,3.0,0,0,83
1,2,2,1,3,23,3.0,0,0,51
2,16,2,1,3,27,5.0,0,0,59
3,27,2,1,3,28,4.0,0,0,72
1,11,2,1,3,35,1.0,0,0,49
1,2,2,1,3,50,2.0,0,0,53
3,16,1,2,3,38,3.0,0,0,68
5,7,2,1,3,26,5.0,1,0,85
2,7,2,2,3,40,4.0,1,0,57
5,2,2,1,1,33,3.0,1,0,87
2,15,2,1,1,31,5.0,1,0,60
1,15,2,1,1,36,4.0,1,0,50
1,14,1,1,3,31,1.0,0,0,50
5,6,2,1,3,27,5.0,1,0,81
5,15,1,1,1,31,3.0,0,0,85
1,16,2,1,3,39,4.0,1,0,48
1,2,1,2,1,34,2.0,0,0,54
1,22,2,1,3,25,2.0,0,0,52
2,31,1,1,3,52,5.0,0,0,61
1,10,1,1,1,43,1.0,0,0,46
1,2,2,1,3,50,1.0,0,0,52
1,13,1,1,3,45,1.0,0,0,47
3,2,2,1,1,60,3.0,0,0,72
2,27,2,2,3,40,4.0,1,0,62
4,5,2,2,1,31,4.0,0,0,77
9,26,2,1,1,32,4.0,0,0,85
4,4,1,1,1,47,3.0,1,0,75
8,2,2,1,3,28,4.0,0,0,59
4,26,2,2,3,30,1.0,0,0,80
1,4,1,1,3,46,3.0,0,0,48
1,2,1,1,3,43,5.0,0,0,45
2,31,2,2,3,28,2.0,1,0,63
1,28,2,1,3,30,4.0,1,0,49
1,34,2,1,1,36,3.0,0,0,49
4,2,2,2,1,33,1.0,0,0,78
1,27,2,1,1,31,1.0,0,0,44
1,2,2,2,3,30,4.0,0,0,47
2,22,2,2,1,29,4.0,0,0,62
7,31,1,2,3,39,3.0,0,0,46
2,13,2,1,3,29,1.0,0,0,62
5,28,2,1,1,30,4.0,0,0,83
6,6,2,1,3,26,5.0,1,0,57
4,12,2,2,3,30,3.0,0,0,76
4,22,2,1,1,34,2.0,0,0,80
5,28,2,1,3,32,2.0,0,0,84
1,7,2,1,1,35,2.0,0,0,45
1,13,2,1,3,22,1.0,0,0,50
1,20,1,1,1,33,5.0,0,0,49
4,7,1,1,3,40,4.0,0,0,80
4,16,1,1,1,37,1.0,1,0,81
3,4,2,2,3,28,3.0,0,0,74
6,2,2,1,3,38,4.0,0,0,61
5,19,2,1,1,32,4.0,1,0,85
2,22,2,1,1,31,3.0,1,0,58
4,10,1,1,1,33,4.0,0,0,80
1,15,2,1,1,27,5.0,1,0,49
9,13,1,1,3,35,3.0,0,0,86
1,29,2,1,1,28,2.0,0,0,50
1,16,2,1,3,41,4.0,0,0,48
5,22,2,2,3,28,4.0,1,0,83
4,33,2,2,1,30,4.0,1,0,80
8,22,2,1,1,30,5.0,0,0,56
3,2,2,1,3,30,3.0,0,0,75
