department,region,education,gender,recruitment_channel,no_of_trainings,age,KPIs_met >60%,awards_won?,avg_training_score
1,2,1,0,1,1,38,1,0,46
6,2,2,1,1,2,32,1,0,61
4,19,2,1,3,1,35,0,0,85
1,7,2,1,3,1,23,0,0,53
4,2,2,1,3,2,30,0,0,83
4,2,1,1,1,3,40,0,0,75
7,30,2,1,3,1,27,0,0,53
4,7,1,1,1,1,56,0,0,79
2,20,2,0,1,1,36,0,0,60
7,22,2,1,3,2,30,0,0,49
1,2,2,1,2,1,29,1,0,48
1,15,1,1,3,1,30,1,0,45
1,2,2,1,3,1,53,0,0,48
3,28,2,0,3,1,35,1,0,70
1,22,2,1,1,1,30,0,0,52
1,28,1,1,3,1,33,1,0,56
7,4,2,1,3,1,40,1,0,48
6,31,2,1,3,1,38,0,0,62
4,2,2,1,3,4,34,1,0,82
6,32,2,1,1,1,35,1,0,56
3,22,2,0,3,2,27,0,0,66
2,13,2,0,3,1,32,1,0,55
1,7,1,0,1,1,37,1,0,53
1,15,2,1,3,1,33,0,0,48
4,7,2,1,3,1,33,1,0,77
3,5,1,1,1,1,38,0,0,69
2,31,2,0,1,1,28,0,0,63
1,28,1,1,3,1,41,0,0,50
1,2,1,0,1,1,38,0,0,50
2,23,1,1,1,3,34,1,0,58
3,2,1,1,3,2,35,0,0,67
1,28,1,1,1,1,31,0,1,50
1,2,1,0,1,2,47,0,0,48
7,15,2,0,3,1,28,1,0,46
3,27,2,0,1,1,37,0,0,67
9,26,2,1,3,1,35,0,0,87
7,2,2,1,1,1,37,1,0,49
2,7,2,1,3,1,57,0,0,59
9,26,2,1,1,1,31,1,0,84
3,16,1,1,3,1,42,1,0,69
2,4,1,1,1,1,35,1,0,60
4,26,2,1,3,2,30,0,0,83
1,34,2,1,3,1,26,1,0,45
3,27,2,1,1,9,26,0,0,71
4,5,2,1,3,1,45,0,0,87
4,2,2,0,3,1,29,0,0,79
1,4,1,1,3,1,34,0,0,52
3,2,2,1,3,1,34,0,0,66
1,12,2,1,3,1,33,0,0,49
1,11,2,1,3,1,34,0,0,48
8,27,2,1,3,1,28,1,0,60
8,2,1,1,1,1,35,1,0,62
2,34,2,1,3,1,28,0,0,59
2,8,1,0,3,1,29,0,0,52
1,2,2,1,1,1,21,0,0,53
1,32,2,1,3,1,29,0,0,50
1,9,2,1,1,1,28,1,0,54
4,7,2,1,3,1,30,0,0,83
1,27,2,1,1,1,38,0,0,49
9,26,2,1,3,1,29,1,0,84
1,2,2,0,1,1,28,0,0,49
3,26,2,0,1,1,34,0,0,69
2,13,2,1,3,1,40,1,0,60
1,31,1,1,3,1,31,0,0,49
1,7,1,1,1,1,44,1,0,54
3,17,2,0,3,1,51,0,0,67
2,7,2,0,3,1,32,1,0,57
5,19,2,1,3,1,28,0,0,86
1,27,2,1,1,1,29,0,0,50
1,5,2,1,3,1,34,0,0,52
5,22,2,1,1,1,27,0,0,81
2,2,1,1,3,1,46,0,0,61
6,2,2,0,3,1,48,1,0,62
4,26,2,1,3,1,27,0,0,84
6,11,2,1,1,1,30,0,0,57
1,2,2,1,3,1,20,0,0,55
2,12,2,1,3,1,36,0,0,57
2,7,2,0,1,1,27,0,0,61
1,23,1,0,1,1,34,0,0,51
8,22,2,1,2,1,29,0,0,58
2,22,2,0,3,1,42,1,0,59
1,15,2,0,3,1,36,0,0,50
4,20,1,1,3,1,46,0,0,78
1,28,1,1,3,1,37,1,0,47
5,19,2,1,1,1,27,1,0,86
1,15,2,1,3,1,53,0,0,45
1,31,2,0,3,1,34,0,0,52
2,2,2,1,3,1,51,0,0,62
1,27,2,1,3,1,26,0,0,46
1,13,1,1,1,1,33,0,0,50
3,2,2,0,1,3,42,1,0,67
2,22,2,1,3,1,25,1,0,66
2,31,1,1,1,1,38,0,0,57
2,25,2,0,3,1,31,1,0,60
1,31,2,1,3,1,37,1,0,51
1,16,2,1,1,3,39,0,0,50
1,6,2,1,1,1,49,0,0,51
4,5,1,0,1,1,34,0,0,84
7,7,1,1,3,1,48,0,0,47
2,23,2,1,3,1,34,0,0,59
1,4,2,1,3,1,47,0,0,49
3,2,1,0,1,1,56,1,0,69
6,2,2,0,3,1,36,0,0,61
1,22,2,1,3,1,29,1,0,53
5,22,2,1,2,3,28,0,0,86
1,1,2,1,3,1,39,0,0,47
2,19,2,1,3,3,32,0,0,64
2,4,1,0,1,1,44,0,0,63
1,1,2,1,3,1,27,0,0,52
4,2,3,0,1,1,21,0,0,76
3,17,2,0,1,1,35,0,0,64
4,2,2,1,3,5,28,0,0,74
7,32,2,0,3,1,27,0,0,47
1,29,2,1,3,1,28,1,0,45
4,13,1,0,1,1,41,0,0,82
1,15,2,1,1,3,33,0,0,48
1,7,1,0,3,1,42,0,0,49
5,2,2,1,3,1,47,0,0,82
2,7,2,0,1,2,29,0,0,57
6,11,2,0,1,1,28,0,1,56
1,2,1,1,1,2,21,0,0,47
5,22,2,1,1,2,30,0,0,86
